> ORF 1247	yciX	Clockwise,0.163768
> ORF 2248	yfbR	Clockwise,0.627829
> ORF 1886	yecC	Counterclockwise,0.411574
> ORF 343	yaiL	Clockwise,0.86845
> ORF 1837	yecE	Clockwise,0.544533
> ORF 92	ddlB	Clockwise,0.523021
> ORF 1055	rluC	Clockwise,0.67754
> ORF 3380	livF	Counterclockwise,0.356457
> ORF 444	hha	Counterclockwise,-0.132095
> ORF 1	thrL	Clockwise,0.927387
> ORF 3	thrB	Clockwise,0.666074
> ORF 1897	yedD	Counterclockwise,0.220742
> ORF 1246	ymiA	Clockwise,0.911777
> ORF 6	yaaA	Counterclockwise,0.371295
> ORF 4046	melR	Counterclockwise,0.430881
> ORF 1033	grxB	Counterclockwise,0.23811
> ORF 103	guaC	Clockwise,0.700529
> ORF 2427	ypfN	Clockwise,0.566102
> ORF 2923	yghT	Clockwise,0.664022
> ORF 1933	hiuH	Clockwise,0.553212
> ORF 5	yaaX	Clockwise,0.337808
> ORF 568	fepG	Counterclockwise,0.242429
> ORF 24	rpsT	Counterclockwise,0.237616
> ORF 3024	ygjV	Counterclockwise,0.194622
> ORF 8	talB	Clockwise,0.867885
> ORF 695	sdhB	Clockwise,0.676449
> ORF 11	yaaW	Counterclockwise,0.368659
> ORF 97	secM	Clockwise,0.626591
> ORF 421	clpP	Clockwise,0.590758
> ORF 985	rutC	Counterclockwise,0.36432
> ORF 60	araD	Counterclockwise,0.365266
> ORF 2045	cyaR	Clockwise,-0.409678
> ORF 3278	yheV	Counterclockwise,0.232553
> ORF 42	fixA	Clockwise,0.861618
> ORF 1869	araF	Counterclockwise,0.275682
> ORF 1224	yciB	Counterclockwise,0.288571
> ORF 3040	yhaK	Clockwise,0.649494
> ORF 394	yajD	Clockwise,0.512221
> ORF 767	ybiH	Counterclockwise,0.462734
> ORF 9	mog	Clockwise,0.772621
> ORF 2244	nuoB	Counterclockwise,0.154671
> ORF 10	yaaH	Counterclockwise,0.413577
> ORF 2412	eutT	Counterclockwise,0.443627
> ORF 4179	tabA	Clockwise,0.624594
> ORF 216	yafT	Clockwise,0.572592
> ORF 35	caiF	Clockwise,0.626415
> ORF 2700	casE	Counterclockwise,0.200242
> ORF 1438	yddJ	Counterclockwise,0.0166382
> ORF 1264	sapF	Counterclockwise,0.437916
> ORF 1050	flgJ	Clockwise,0.624688
> ORF 1662	ydiR	Clockwise,0.688957
> ORF 12	yaaI	Counterclockwise,0.114348
> ORF 3905	secE	Clockwise,0.583405
> ORF 106	ppdD	Counterclockwise,0.270896
> ORF 2073	mrp	Counterclockwise,0.144118
> ORF 445	tomB	Counterclockwise,0.163856
> ORF 163	dapD	Counterclockwise,0.369138
> ORF 49	folA	Clockwise,0.802479
> ORF 287	ykgO	Counterclockwise,0.194829
> ORF 17	hokC	Counterclockwise,0.0389301
> ORF 4197	leuX	Clockwise,0.0589086
> ORF 1322	ydaC	Counterclockwise,-0.413634
> ORF 2311	yfdQ	Clockwise,0.676173
> ORF 18	mokC	Counterclockwise,-0.0378188
> ORF 940	yccX	Clockwise,0.775424
> ORF 107	nadC	Counterclockwise,0.288302
> ORF 450	ybaM	Counterclockwise,0.675157
> ORF 2220	menH	Counterclockwise,0.338659
> ORF 1530	flxA	Clockwise,0.428243
> ORF 244	yafX	Counterclockwise,0.218897
> ORF 2367	cysK	Clockwise,0.783045
> ORF 1327	ydaE	Counterclockwise,0.0836614
> ORF 1935	yedZ	Clockwise,0.636979
> ORF 525	ninE	Clockwise,0.259463
> ORF 2531	rseA	Counterclockwise,0.287077
> ORF 2727	mazF	Counterclockwise,0.0527119
> ORF 19	sokC	Clockwise,0.202432
> ORF 3362	gntK	Counterclockwise,0.567061
> ORF 230	yafO	Clockwise,0.471911
> ORF 21	nhaR	Clockwise,0.606759
> ORF 79	ilvH	Clockwise,0.578059
> ORF 1056	yceF	Counterclockwise,-0.00224526
> ORF 1010	csgD	Counterclockwise,0.38881
> ORF 1612	gloA	Clockwise,0.764243
> ORF 2353	valU	Clockwise,0.280767
> ORF 414	cyoC	Counterclockwise,0.27064
> ORF 3462	bcsF	Clockwise,0.731875
> ORF 3139	mtgA	Counterclockwise,0.256862
> ORF 2264	hisM	Counterclockwise,0.294015
> ORF 74	leuB	Counterclockwise,0.283447
> ORF 1186	rdlC	Clockwise,0.299978
> ORF 727	galM	Counterclockwise,0.320496
> ORF 1040	flgM	Counterclockwise,0.0331112
> ORF 25	yaaY	Clockwise,0.292623
> ORF 37	caiD	Counterclockwise,0.432715
> ORF 590	rna	Counterclockwise,0.347275
> ORF 26	ribF	Clockwise,0.688057
> ORF 1047	flgG	Clockwise,0.611006
> ORF 138	ecpD	Counterclockwise,0.0464847
> ORF 501	purK	Counterclockwise,0.239195
> ORF 52	rsmA	Counterclockwise,0.17014
> ORF 43	fixB	Clockwise,0.797041
> ORF 204	rrfH	Clockwise,0.00282293
> ORF 28	lspA	Clockwise,0.935951
> ORF 93	ftsQ	Clockwise,0.729768
> ORF 624	ybeT	Counterclockwise,-0.109368
> ORF 4083	frdC	Counterclockwise,0.167172
> ORF 208	yafD	Clockwise,0.507809
> ORF 721	nadA	Clockwise,0.563133
> ORF 2305	gtrA	Clockwise,0.161363
> ORF 29	fkpB	Clockwise,0.834756
> ORF 2617	ygaM	Clockwise,0.515152
> ORF 829	potI	Clockwise,0.711488
> ORF 30	ispH	Clockwise,0.725116
> ORF 631	gltJ	Counterclockwise,0.231359
> ORF 31	rihC	Clockwise,0.698777
> ORF 1867	araH	Counterclockwise,0.282104
> ORF 1062	fabD	Clockwise,0.787254
> ORF 1543	speG	Clockwise,0.679212
> ORF 1188	chaB	Clockwise,0.594111
> ORF 32	dapB	Clockwise,0.756419
> ORF 1052	flgL	Clockwise,0.528322
> ORF 2199	yfaD	Clockwise,0.631618
> ORF 3611	yidL	Clockwise,0.606349
> ORF 36	caiE	Counterclockwise,0.251351
> ORF 227	rayT	Clockwise,0.303303
> ORF 1328	kilR	Counterclockwise,-0.182667
> ORF 687	ybgO	Counterclockwise,0.164355
> ORF 57	rluA	Counterclockwise,-0.0397236
> ORF 379	mak	Clockwise,0.729506
> ORF 56	djlA	Clockwise,0.747451
> ORF 2216	pmrD	Counterclockwise,0.286876
> ORF 197	metI	Counterclockwise,0.209356
> ORF 4154	chpS	Clockwise,0.488735
> ORF 45	fixX	Clockwise,0.783045
> ORF 2160	napH	Counterclockwise,0.0442824
> ORF 2595	yfjT	Clockwise,0.17977
> ORF 72	leuD	Counterclockwise,0.265774
> ORF 65	thiQ	Counterclockwise,0.232605
> ORF 2259	yfcG	Clockwise,0.528764
> ORF 1609	ydhL	Counterclockwise,0.0744358
> ORF 47	kefF	Clockwise,0.790756
> ORF 1478	lsrB	Clockwise,0.679387
> ORF 3513	yiaT	Counterclockwise,0.0444136
> ORF 2698	ygbF	Counterclockwise,-0.100615
> ORF 736	modC	Clockwise,0.836586
> ORF 101	yacF	Counterclockwise,0.344886
> ORF 2262	yfcI	Counterclockwise,0.0975095
> ORF 2380	murR	Counterclockwise,0.282402
> ORF 4011	ytcA	Counterclockwise,0.347791
> ORF 51	apaG	Counterclockwise,0.20393
> ORF 1423	yncE	Clockwise,0.868219
> ORF 2350	yfeC	Clockwise,0.666052
> ORF 1236	yciV	Clockwise,0.580463
> ORF 1031	pyrC	Counterclockwise,0.149727
> ORF 1640	ynhG	Counterclockwise,0.0932882
> ORF 3008	ygjH	Counterclockwise,0.268683
> ORF 709	tolR	Clockwise,0.629375
> ORF 4306	deoD	Clockwise,0.664889
> ORF 50	apaH	Counterclockwise,0.252038
> ORF 373	yaiI	Clockwise,0.598282
> ORF 64	yabI	Clockwise,0.911779
> ORF 53	pdxA	Counterclockwise,0.209329
> ORF 494	glxK	Clockwise,0.793936
> ORF 2746	fucA	Counterclockwise,0.0518041
> ORF 1202	tyrT	Counterclockwise,-0.699821
> ORF 63	araC	Clockwise,0.505866
> ORF 3208	yrdB	Counterclockwise,0.46315
> ORF 559	hokE	Clockwise,0.54215
> ORF 1102	hflD	Counterclockwise,0.281097
> ORF 495	ylbA	Counterclockwise,0.212536
> ORF 67	thiB	Counterclockwise,0.294883
> ORF 456	recR	Clockwise,0.679164
> ORF 890	kdsB	Clockwise,0.654826
> ORF 70	sgrT	Clockwise,0.701797
> ORF 1653	ydiL	Clockwise,0.49012
> ORF 427	fadM	Clockwise,0.636434
> ORF 2385	yfeY	Counterclockwise,0.217977
> ORF 2454	purM	Clockwise,0.835917
> ORF 2567	rimM	Counterclockwise,0.145327
> ORF 979	wrbA	Counterclockwise,0.166668
> ORF 4223	sgcE	Counterclockwise,0.132664
> ORF 485	allS	Counterclockwise,0.378716
> ORF 108	ampD	Clockwise,0.670003
> ORF 1652	rprA	Clockwise,0.0349346
> ORF 2739	syd	Counterclockwise,0.173415
> ORF 1317	fnrS	Clockwise,-0.224521
> ORF 76	leuL	Counterclockwise,0.0494798
> ORF 1881	pgsA	Counterclockwise,0.176193
> ORF 4078	ecnB	Clockwise,0.47616
> ORF 77	leuO	Clockwise,0.529146
> ORF 3540	yibN	Counterclockwise,0.163764
> ORF 87	mraY	Clockwise,0.764528
> ORF 2979	glgS	Counterclockwise,0.0730265
> ORF 83	ftsL	Clockwise,0.612065
> ORF 4176	yjgH	Counterclockwise,0.373202
> ORF 988	rutR	Clockwise,0.688805
> ORF 149	fhuC	Clockwise,0.764835
> ORF 2839	ygfZ	Clockwise,0.76149
> ORF 80	cra	Clockwise,0.632879
> ORF 735	modB	Clockwise,0.74763
> ORF 4303	deoC	Clockwise,0.97468
> ORF 239	thrW	Clockwise,0.331874
> ORF 310	yahE	Clockwise,0.531466
> ORF 81	mraZ	Clockwise,0.410553
> ORF 1076	thiK	Clockwise,0.539162
> ORF 2589	rnlB	Clockwise,0.29878
> ORF 943	serT	Counterclockwise,-0.109585
> ORF 3664	atpH	Counterclockwise,0.471313
> ORF 82	rsmH	Clockwise,0.724259
> ORF 963	cspH	Counterclockwise,0.241056
> ORF 90	murG	Clockwise,0.67821
> ORF 616	nadD	Counterclockwise,0.20948
> ORF 215	aspV	Clockwise,0.38145
> ORF 1934	yedY	Clockwise,0.703835
> ORF 2697	iap	Clockwise,0.575564
> ORF 755	moaD	Clockwise,0.811298
> ORF 2081	yehS	Counterclockwise,0.301527
> ORF 635	ybeX	Counterclockwise,0.322276
> ORF 96	lpxC	Clockwise,0.622854
> ORF 3907	rplK	Clockwise,0.524794
> ORF 99	mutT	Clockwise,0.590124
> ORF 2373	yfeS	Clockwise,0.528331
> ORF 3801	ompL	Counterclockwise,0.0955975
> ORF 1189	chaC	Clockwise,0.68084
> ORF 3146	gltF	Clockwise,0.352576
> ORF 2480	iscX	Counterclockwise,0.0749863
> ORF 3283	yheU	Clockwise,0.579238
> ORF 100	yacG	Counterclockwise,0.281731
> ORF 1036	yceH	Clockwise,0.685874
> ORF 1705	ves	Counterclockwise,0.338155
> ORF 734	modA	Clockwise,0.882213
> ORF 102	coaE	Counterclockwise,0.415481
> ORF 1910	fliM	Clockwise,0.66742
> ORF 2434	gcvR	Clockwise,0.58161
> ORF 942	yccA	Counterclockwise,0.225797
> ORF 109	ampE	Clockwise,0.675875
> ORF 143	dksA	Counterclockwise,0.434791
> ORF 1613	rnt	Clockwise,0.621722
> ORF 602	cspE	Clockwise,0.613881
> ORF 4127	ulaC	Clockwise,0.818577
> ORF 111	pdhR	Clockwise,0.474592
> ORF 2806	ygeR	Counterclockwise,0.0412882
> ORF 2500	yphB	Counterclockwise,0.333596
> ORF 2817	yqeC	Counterclockwise,0.0481215
> ORF 117	yacL	Clockwise,0.53707
> ORF 758	ybhM	Clockwise,0.298995
> ORF 1249	ribA	Counterclockwise,0.356689
> ORF 401	thiL	Clockwise,0.75932
> ORF 246	ykfB	Counterclockwise,0.358955
> ORF 3925	yjaG	Clockwise,0.502436
> ORF 118	speD	Counterclockwise,0.51474
> ORF 973	torD	Clockwise,0.527944
> ORF 1444	adhP	Counterclockwise,0.35143
> ORF 1587	ydgK	Clockwise,0.470945
> ORF 154	erpA	Clockwise,0.734809
> ORF 119	speE	Counterclockwise,0.272875
> ORF 960	gfcA	Counterclockwise,0.0958485
> ORF 120	yacC	Counterclockwise,0.156867
> ORF 1667	ppsR	Clockwise,0.592407
> ORF 1123	pinE	Clockwise,0.343819
> ORF 185	yaeR	Clockwise,0.768123
> ORF 1479	lsrF	Clockwise,0.667926
> ORF 123	hpt	Clockwise,0.763031
> ORF 628	rihA	Counterclockwise,0.103507
> ORF 2706	sokX	Clockwise,0.859218
> ORF 1042	flgB	Clockwise,0.7121
> ORF 346	frmR	Counterclockwise,0.165965
> ORF 2750	fucU	Clockwise,0.502692
> ORF 478	ybbO	Counterclockwise,0.320215
> ORF 3858	ftsN	Counterclockwise,0.291122
> ORF 124	can	Counterclockwise,0.0710994
> ORF 2381	murQ	Clockwise,0.740785
> ORF 941	tusE	Counterclockwise,0.208728
> ORF 869	ycaC	Counterclockwise,0.269445
> ORF 125	yadG	Clockwise,0.666507
> ORF 1100	phoP	Counterclockwise,0.17716
> ORF 499	ylbF	Clockwise,0.573915
> ORF 738	pgl	Clockwise,0.616211
> ORF 3615	ibpA	Counterclockwise,0.247342
> ORF 126	yadH	Clockwise,0.722195
> ORF 127	yadI	Clockwise,0.313695
> ORF 547	cusR	Counterclockwise,0.441104
> ORF 277	paoA	Counterclockwise,0.251162
> ORF 129	panD	Counterclockwise,0.437417
> ORF 3722	argX	Clockwise,0.321549
> ORF 130	yadD	Clockwise,0.474183
> ORF 1795	htpX	Counterclockwise,0.295286
> ORF 666	ybfK	Clockwise,0.213714
> ORF 4183	yjgM	Counterclockwise,0.213823
> ORF 4019	rpiB	Clockwise,0.548165
> ORF 643	glnW	Counterclockwise,0.364698
> ORF 3192	yhdU	Clockwise,0.406876
> ORF 1762	yeaR	Counterclockwise,0.136488
> ORF 809	gstB	Counterclockwise,0.237004
> ORF 131	panC	Counterclockwise,0.315666
> ORF 533	rzpD	Clockwise,0.47002
> ORF 1668	aroH	Clockwise,0.648873
> ORF 2273	accD	Counterclockwise,0.111049
> ORF 839	amiD	Clockwise,0.784362
> ORF 132	panB	Counterclockwise,0.192451
> ORF 229	yafN	Clockwise,0.553147
> ORF 278	yagU	Clockwise,0.340009
> ORF 361	yaiV	Clockwise,0.404642
> ORF 2246	lrhA	Counterclockwise,0.0509963
> ORF 2554	rluD	Counterclockwise,0.0934973
> ORF 2701	casD	Counterclockwise,-0.191504
> ORF 1977	yefM	Counterclockwise,0.0307062
> ORF 134	yadK	Counterclockwise,0.232266
> ORF 3588	yicL	Clockwise,0.531528
